jobtype,atlanta,austin,boston,chicago,dallas,denver,detroit,houston,lasvegas,losangeles,miami,minneapolis,newyork,orangecounty,philadelphia,phoenix,portland,raleigh,sacramento,sandiego,seattle,sfbay,washingtondc
accounting+finance,388,234,855,492,376,340,99,291,137,1198,441,184,1170,415,262,320,471,104,179,498,667,1189,495
admin/office,432,507,1557,1069,965,694,284,719,323,2506,1265,385,2666,910,481,815,655,199,311,857,1147,1744,916
arch/engineering,94,75,161,145,113,171,53,134,33,300,131,107,560,166,79,119,155,57,73,129,341,468,201
art/media/design,111,78,168,286,115,61,58,77,39,634,220,90,917,124,102,79,73,21,33,112,168,376,174
biotech/science,30,22,122,44,41,20,5,34,6,76,34,15,53,25,24,16,31,28,20,84,71,226,69
business/mgmt,255,208,437,393,416,304,94,280,137,672,212,205,631,243,195,280,320,90,150,313,539,660,411
customer service,624,679,1247,1179,1314,877,273,739,413,2107,1092,618,1564,1013,496,1022,661,190,442,946,1315,1662,788
education,451,458,861,890,460,581,170,491,103,1355,407,310,1417,590,536,411,372,164,357,643,881,1809,856
food/bev/hosp,1163,1671,3447,2784,2394,1774,773,1741,738,3870,3491,1534,8596,1330,1462,2559,1243,654,480,1515,2681,4343,2765
general labor,875,935,1403,1616,2493,1743,1087,1500,344,1469,1306,1544,1613,774,576,1635,991,377,419,825,1880,1489,811
government,9,17,12,14,15,16,5,11,4,26,3,16,50,4,14,13,32,7,15,23,99,73,72
human resources,24,24,192,107,81,54,12,40,22,202,32,51,229,73,41,38,76,24,31,60,157,268,88
internet engineers,15,33,53,65,13,15,3,12,19,124,32,14,184,35,15,12,56,9,12,44,113,332,46
legal/paralegal,145,91,191,212,147,116,46,93,118,903,430,83,897,271,112,89,106,35,78,186,196,444,401
manufacturing,230,185,260,510,467,407,259,384,62,558,185,653,246,322,139,273,511,89,104,286,585,543,36
marketing/pr/ad,273,254,635,679,398,273,79,325,211,1419,508,165,1427,373,303,406,263,85,186,507,455,1017,598
medical/health,673,1123,1699,1619,1671,1397,635,1113,523,2837,1506,906,2832,1294,695,1514,1660,436,796,1355,2931,2731,1582
nonprofit sector,46,150,726,269,87,278,53,66,37,612,101,131,485,151,143,113,430,73,266,283,551,1539,405
real estate,265,190,427,405,578,339,105,355,223,874,529,202,974,433,157,449,260,104,225,436,603,582,382
retail/wholesale,317,434,910,918,746,483,206,584,262,1265,797,500,2082,443,372,520,379,177,221,413,1025,1668,819
sales/biz dev,1233,986,1653,2184,2468,1540,529,1540,1002,4054,2999,781,3181,1975,845,2128,1115,359,883,1761,1867,2567,1429
salon/spa/fitness,375,295,771,745,558,417,214,364,210,1053,821,335,1376,470,291,544,282,133,200,482,632,768,601
security,54,85,118,142,280,85,65,325,75,397,225,48,362,112,40,137,106,23,62,154,125,328,101
skilled trade/craft,1031,1020,1277,1195,1987,1986,681,1569,436,1506,1655,1069,1470,770,764,1728,1061,547,687,929,1891,1964,1118
software/qa/dba,104,274,570,208,146,142,19,60,28,385,61,87,473,139,77,59,285,80,67,203,891,1230,312
systems/network,72,67,212,155,82,72,34,59,39,206,61,49,327,76,76,62,97,36,41,84,242,307,202
technical support,115,154,257,171,161,128,52,84,58,332,149,115,353,127,86,119,178,59,66,178,300,386,209
transport,1602,660,890,3352,2634,1587,964,1512,371,1892,725,1091,1549,630,1009,1215,948,297,664,574,1101,1284,783
tv/film/video,171,85,106,199,146,79,61,113,114,867,207,56,576,85,80,103,82,36,50,110,94,109,125
web/info design,58,74,203,242,63,49,20,43,36,474,178,81,415,112,58,62,79,30,32,126,189,335,141
writing/editing,41,50,107,86,20,32,8,30,11,200,52,32,279,28,48,33,35,9,16,69,79,98,99
[ETC],224,223,475,427,326,215,44,160,122,1192,252,102,828,386,218,201,189,64,111,419,438,663,312
Total,11500,11341,22002,22802,21761,16275,6990,14848,6256,35565,20107,11559,39782,13899,9796,17074,13202,4596,7277,14604,24254,33202,17347
