category, detroit, houston, chicago, seattle, newyork, losangeles, sfbay, boston
food bev hosp, -1.65865109088909,-0.991821398841333,-0.5078510016968,-1.66345952447578,8.89045599192542,-1.83582170698281,0.363231004394658,2.94945125485943
admin office,-1.02640336267227,-0.246947412669804,-0.401165183003017,-0.360233583205485,1.6121728720847,1.95690290904566,0.163345190834556,1.98727896741633
nonprofit sector,-0.875168983214228,-1.18889071006539,-0.453673943311722,0.638395199759647,-0.414250683775563,0.087397893971896,3.00186791555749,1.66630500686003
accounting+finance,-1.1653496828228,-0.621798781905237,-0.423953231265396,0.168403149770448,0.359369910203826,0.786821551735934,0.999450876014206,1.30435166699596
software qa dba,-1.04715248532421,-0.914874538996944,-0.406768682432638,2.35465147946286,-0.129989425906463,-0.23644441227414,2.385626742085,1.27170420854638
salon spa fitness,0.060161964282756,-0.549845867101981,0.265902770343615,-0.395598736163039,0.457496248722365,-0.040578443928288,-0.688240819940302,0.502872400673049
human resources,-0.265968220339821,-0.168245488358172,0.031615042629732,0.209673866572262,0.137995182782302,0.130332091788911,0.369538250261645,0.435005901013954
retail wholesale,-0.786743427109455,0.199378989150226,0.292151968834403,0.492296367869129,1.49971203268577,-0.176942959006864,1.28998308134243,0.402176971465313
[ETC],-1.15271929434582,-0.704603759838398,0.090452783900959,0.02369772189373,0.299153354365045,1.56941976193087,0.214677691839835,0.376704679206328
marketing pr ad,-1.41836598074341,-0.359704977956181,0.429257003411152,-0.672572740792315,1.03849745862058,1.44132572802413,0.514516529135208,0.337549302806696
systems network,-0.154648378557373,-0.243697620701323,0.038707398406196,0.356716028629182,0.180922255360282,-0.061836390110903,0.283585559295105,0.322491233799365
education,-1.16610988017283,-0.291312987444306,0.305010729055155,0.034234873662145,-0.036243237154363,0.211769828684008,1.8503112999636,0.315124950995461
biotech science,-0.195410250512095,-0.037953939772615,-0.0739754793986,0.025794210194828,-0.133714926590427,-0.053247771004405,0.413740877895203,0.287554037166786
customer service,-1.52032621911094,-0.448804325149127,-0.25530654799558,-0.004119521113959,-1.4944793450637,0.498458222602197,-0.420183071418047,0.241760957513264
web info design,-0.399105261067107,-0.395627000867807,0.376082117396168,0.094024612765778,0.357957066241906,0.647542688736463,0.323747068958689,0.237415102083649
technical support,-0.232015812430489,-0.410202939360586,-0.22600148168446,0.260973677791792,-0.088599716884298,-0.042433659460258,0.186644869454421,0.192139931506952
writing editing,-0.210353170461408,-0.122754969829964,0.052357514631472,0.000917085330508,0.376519822399757,0.237548241992004,-0.029639441631621,0.161517041883705
business mgmt,-0.55998789331766,-0.018990285898194,-0.181233124548162,0.317547697171786,-0.318621660510521,-0.015268045900521,0.083065910342581,0.081416926298816
internet engineers,-0.214063805211781,-0.176163294630162,0.028080453649632,0.208920271393786,0.205538477874818,0.09167512773394,0.742957502517496,-0.016095068073956
government,-0.064220318326924,-0.061667024828823,-0.074352953581292,0.272429017452151,-0.010066093394749,-0.062645495223002,0.084115196563116,-0.081210580234445
art media design,-0.038106693133848,-0.349275126486914,0.386412452151076,-0.175194238122961,1.43719910256573,0.914787994643896,0.26459841132967,-0.104296540096648
arch engineering,-0.17245418954181,-0.028201778461942,-0.294771095959802,0.475273430390917,0.476991584634173,-0.087154288315198,0.478873414609102,-0.198928567797708
security,0.08741785600953,1.34636498182967,-0.219729610787737,-0.327103094356841,0.067477277136504,0.273783990916963,0.145410294715888,-0.306167120463541
legal paralegal,-0.561557879505337,-0.593293872426259,-0.289897850185318,-0.411526729679808,1.03514774267345,1.31937221946717,0.117627984041673,-0.351537955448492
real estate,-0.814209856996897,0.074538616808046,-0.540195793777535,0.169832065560189,0.131987692178297,0.141116454194182,-0.563449328325089,-0.375623119076466
tv film video,0.006782232653698,-0.104847759083266,0.006837444536199,-0.478328079961727,0.58199798827865,1.57189694433738,-0.537599541407347,-0.38411863355706
manufacturing,1.68269346919791,0.563607089640906,0.214046101342844,0.389373475846665,-1.40422968977241,-0.45364156144477,-0.387156158937804,-0.840889053342961
medical health,0.424309398316085,-1.1641378446665,-1.55984253273833,3.42450770491224,-1.5412994503095,-0.683153272040856,-0.434688788445333,-0.938071625960677
general labor,7.91058565554758,2.46216950686227,-0.553103559777383,0.111097572051654,-3.58560362610898,-3.50973583765021,-3.15553158457593,-1.26350815488635
skilled trade craft,1.81282531808098,2.63741578907403,-2.68889559865209,-0.133011853682375,-4.23452544745384,-3.6951637414238,-2.0143576454563,-2.12564613574315
sales biz dev,-2.50808915457599,0.295723866488586,-0.497936191310338,-2.37834402632966,-2.07996474636526,1.32280380632676,-2.34458141476784,-2.56309000701508
transport,6.22240539629506,2.61446486548751,7.13174008181759,-3.02926738059774,-3.67500401144349,-2.24888787136633,-3.70148787624596,-3.52363797939493
